iso_code,year,death_rate
BLR,2017,131.84
BLR,2018,129.29
BLR,2019,129.39
BEL,1990,153.22
BEL,1991,150.14
BEL,1992,148.18
BEL,1993,147.05
BEL,1994,143.75
BEL,1995,142
BEL,1996,138.68
BEL,1997,135.9
BEL,1998,133.62
BEL,1999,130.85
BEL,2000,126.94
BEL,2001,122.82
BEL,2002,120.56
BEL,2003,116.92
BEL,2004,111.78
BEL,2005,108.47
BEL,2006,103.77
BEL,2007,101.27
BEL,2008,98.71
BEL,2009,97.95
BEL,2010,96.24
BEL,2011,94.49
BEL,2012,93.74
BEL,2013,91.65
BEL,2014,88.07
BEL,2015,86.84
BEL,2016,84.34
BEL,2017,83.58
BEL,2018,82.68
BEL,2019,82.28
BLZ,1990,61.74
BLZ,1991,58.91
BLZ,1992,58.77
BLZ,1993,58.9
BLZ,1994,59.99
BLZ,1995,61.59
BLZ,1996,64.92
BLZ,1997,70.51
BLZ,1998,75.62
BLZ,1999,79.81
BLZ,2000,79.37
BLZ,2001,70.23
BLZ,2002,63.85
BLZ,2003,61.02
BLZ,2004,59.92
BLZ,2005,57.72
BLZ,2006,56.68
BLZ,2007,54.66
BLZ,2008,52.08
BLZ,2009,51.8
BLZ,2010,51.59
BLZ,2011,50.24
BLZ,2012,49.06
BLZ,2013,49.47
BLZ,2014,50.75
BLZ,2015,51.95
BLZ,2016,51.51
BLZ,2017,51.45
BLZ,2018,52.63
BLZ,2019,52.78
BEN,1990,78.66
BEN,1991,77.38
BEN,1992,75.56
BEN,1993,73.8
BEN,1994,72.66
BEN,1995,71.34
BEN,1996,70.25
BEN,1997,68.13
BEN,1998,66.45
BEN,1999,64.77
BEN,2000,63.89
BEN,2001,62.23
BEN,2002,61.23
BEN,2003,59.59
BEN,2004,57.98
BEN,2005,56.44
BEN,2006,55.61
BEN,2007,54.34
BEN,2008,54.15
BEN,2009,53.92
BEN,2010,53.58
BEN,2011,53.14
BEN,2012,52.29
BEN,2013,51.19
BEN,2014,49.79
BEN,2015,48.84
BEN,2016,47.2
BEN,2017,45.89
BEN,2018,43.96
BEN,2019,42.39
BMU,1990,93.51
BMU,1991,89.63
BMU,1992,84.12
BMU,1993,82.98
BMU,1994,80.11
BMU,1995,75.34
BMU,1996,75.36
BMU,1997,70.22
BMU,1998,67.55
BMU,1999,66.06
BMU,2000,65.06
BMU,2001,61.69
BMU,2002,59.93
BMU,2003,58.39
BMU,2004,56.67
BMU,2005,55.52
BMU,2006,54.96
BMU,2007,53.51
BMU,2008,52.52
BMU,2009,51.54
BMU,2010,50.43
BMU,2011,49.72
BMU,2012,49.27
BMU,2013,48.84
BMU,2014,48.55
BMU,2015,47.85
BMU,2016,47.14
BMU,2017,46.82
BMU,2018,46.47
BMU,2019,46.01
BTN,1990,96.17
BTN,1991,95.4
BTN,1992,94.34
BTN,1993,93.25
BTN,1994,91.97
BTN,1995,90.75
BTN,1996,88.2
BTN,1997,87.56
BTN,1998,86.75
BTN,1999,84.7
BTN,2000,84.88
BTN,2001,83.51
BTN,2002,82.15
BTN,2003,81.57
BTN,2004,80.34
BTN,2005,79.33
BTN,2006,78.16
BTN,2007,77.22
BTN,2008,76.22
BTN,2009,75.49
BTN,2010,74.28
BTN,2011,73.14
BTN,2012,71.93
BTN,2013,70.81
BTN,2014,69.82
BTN,2015,69.02
BTN,2016,68.22
BTN,2017,67.54
BTN,2018,66.99
BTN,2019,66.47
BOL,1990,98.52
BOL,1991,93.8
BOL,1992,88.96
BOL,1993,84.93
BOL,1994,80.04
BOL,1995,76.77
BOL,1996,72.68
BOL,1997,70.26
BOL,1998,67.24
BOL,1999,64.44
BOL,2000,61.45
BOL,2001,58.39
BOL,2002,55.72
BOL,2003,53.41
BOL,2004,50.97
BOL,2005,49.11
BOL,2006,47.69
BOL,2007,46.39
BOL,2008,45.37
BOL,2009,44.61
BOL,2010,44.09
BOL,2011,43.82
BOL,2012,43.56
BOL,2013,43.31
BOL,2014,43.1
BOL,2015,42.89
BOL,2016,42.76
BOL,2017,42.74
BOL,2018,42.91
BOL,2019,43.01
BIH,1990,159.9
BIH,1991,171.38
BIH,1992,170.24
BIH,1993,172.88
BIH,1994,172.67
BIH,1995,171.24
BIH,1996,166.53
BIH,1997,160.76
BIH,1998,150.47
BIH,1999,147.66
BIH,2000,148.69
BIH,2001,151.56
BIH,2002,154.13
BIH,2003,154.46
BIH,2004,152.14
BIH,2005,156.82
BIH,2006,152.49
BIH,2007,158.87
BIH,2008,150.24
BIH,2009,149.82
BIH,2010,148.07
BIH,2011,148.51
BIH,2012,146.5
BIH,2013,147.9
BIH,2014,148.64
BIH,2015,151.36
BIH,2016,148.3
BIH,2017,146.99
BIH,2018,147.14
BIH,2019,146.05
BWA,1990,169.27
BWA,1991,172.61
BWA,1992,177.87
BWA,1993,183.7
BWA,1994,191.76
BWA,1995,200.2
BWA,1996,207.1
BWA,1997,211.85
BWA,1998,215.51
BWA,1999,216.95
BWA,2000,218.72
BWA,2001,218.44
BWA,2002,216.08
BWA,2003,209.39
BWA,2004,198.69
BWA,2005,186.63
BWA,2006,177.72
BWA,2007,166
BWA,2008,159.61
BWA,2009,154.14
BWA,2010,150.43
BWA,2011,146.44
BWA,2012,141.89
BWA,2013,137.97
BWA,2014,134.29
BWA,2015,131.56
BWA,2016,128.38
BWA,2017,126.61
BWA,2018,124.95
BWA,2019,123.01
BRA,1990,179.84
BRA,1991,172.33
BRA,1992,169.29
BRA,1993,170.22
BRA,1994,165.72
BRA,1995,161.23
BRA,1996,158.18
BRA,1997,152.18
BRA,1998,149.48
BRA,1999,145.08
BRA,2000,140.01
BRA,2001,135.54
BRA,2002,131.45
BRA,2003,127.71
BRA,2004,123.85
BRA,2005,117.15
BRA,2006,113.38
BRA,2007,109.47
BRA,2008,105.92
BRA,2009,102.85
BRA,2010,99.83
BRA,2011,96.66
BRA,2012,92.39
BRA,2013,89.17
BRA,2014,85.63
BRA,2015,83.19
BRA,2016,81.87
BRA,2017,77.83
BRA,2018,75.14
BRA,2019,73.12
BRN,1990,249.59
BRN,1991,238.76
BRN,1992,231.12
BRN,1993,223.48
BRN,1994,206.34
BRN,1995,197.1
BRN,1996,185.45
BRN,1997,185.69
BRN,1998,187.21
BRN,1999,186.14
BRN,2000,181.69
BRN,2001,172.69
BRN,2002,171.5
BRN,2003,172.92
BRN,2004,168.64
BRN,2005,166.11
BRN,2006,160.12
BRN,2007,149.96
BRN,2008,143.65
BRN,2009,142.32
BRN,2010,139.24
BRN,2011,134.26
BRN,2012,130.61
BRN,2013,130.03
BRN,2014,127.56
BRN,2015,123.97
BRN,2016,121.02
BRN,2017,118.82
BRN,2018,116.58
BRN,2019,113.57
BGR,1990,211.7
BGR,1991,207.15
BGR,1992,212.07
BGR,1993,216.84
BGR,1994,221.97
BGR,1995,222.63
BGR,1996,222.32
BGR,1997,227.78
BGR,1998,220.47
BGR,1999,208.66
BGR,2000,205.78
BGR,2001,200.37
BGR,2002,195.82
BGR,2003,192.38
BGR,2004,190.37
BGR,2005,190.54
BGR,2006,188.46
BGR,2007,182.26
BGR,2008,176.57
BGR,2009,172.12
BGR,2010,167.71
BGR,2011,163.99
BGR,2012,158.57
BGR,2013,154.8
BGR,2014,157.87
BGR,2015,154.92
BGR,2016,153.83
BGR,2017,152.08
BGR,2018,150.79
BGR,2019,148.84
BFA,1990,44.03
BFA,1991,43.23
BFA,1992,42.69
BFA,1993,42.54
BFA,1994,42.32
BFA,1995,42.15
BFA,1996,41.51
BFA,1997,40.93
BFA,1998,40.27
BFA,1999,39.57
BFA,2000,39.27
BFA,2001,38.15
BFA,2002,37.29
BFA,2003,36.48
BFA,2004,36.06
BFA,2005,35.64
BFA,2006,35.2
BFA,2007,34.71
BFA,2008,34.19
BFA,2009,33.96
BFA,2010,33.94
BFA,2011,33.78
BFA,2012,33.72
BFA,2013,33.65
BFA,2014,33.49
BFA,2015,33.24
BFA,2016,33.15
BFA,2017,32.87
BFA,2018,32.35
BFA,2019,31.39
BDI,1990,152.1
BDI,1991,150.81
BDI,1992,149.24
BDI,1993,148.03
BDI,1994,145.72
BDI,1995,144.25
BDI,1996,140.47
BDI,1997,134.7
BDI,1998,128.33
BDI,1999,120.99
BDI,2000,115.12
BDI,2001,107.09
BDI,2002,101.07
BDI,2003,95.51
BDI,2004,91.17
BDI,2005,87.37
BDI,2006,82.88
BDI,2007,78.63
BDI,2008,74.78
BDI,2009,71.43
BDI,2010,69.6
BDI,2011,67.97
BDI,2012,66.57
BDI,2013,65.04
BDI,2014,63.79
BDI,2015,62.82
BDI,2016,61.81
BDI,2017,61.36
BDI,2018,61.67
BDI,2019,61.49
KHM,1990,222.01
KHM,1991,217.41
KHM,1992,213.81
KHM,1993,211.59
KHM,1994,210.54
KHM,1995,210.05
KHM,1996,208.32
KHM,1997,207.32
KHM,1998,206.53
KHM,1999,204.89
KHM,2000,202.66
KHM,2001,199.67
KHM,2002,196.56
KHM,2003,193.76
KHM,2004,191.61
KHM,2005,188.98
KHM,2006,186.17
KHM,2007,184.6
KHM,2008,182.97
KHM,2009,181.95
KHM,2010,181.17
KHM,2011,179.76
KHM,2012,176.89
KHM,2013,173.55
KHM,2014,170.21
KHM,2015,167.09
KHM,2016,164.16
KHM,2017,161.63
KHM,2018,159.51
KHM,2019,157.47
CMR,1990,61.6
CMR,1991,61.92
CMR,1992,62.63
CMR,1993,63.58
CMR,1994,63.75
CMR,1995,64.12
CMR,1996,64.63
CMR,1997,65.39
CMR,1998,66.01
CMR,1999,66.14
CMR,2000,66.75
CMR,2001,66.23
CMR,2002,65.84
CMR,2003,64.94
CMR,2004,63.87
CMR,2005,63.21
CMR,2006,62.71
CMR,2007,61.64
CMR,2008,60.81
CMR,2009,59.94
CMR,2010,58.91
CMR,2011,58.05
CMR,2012,57.23
CMR,2013,55.94
CMR,2014,54.34
CMR,2015,52.66
CMR,2016,50.69
CMR,2017,49.07
CMR,2018,47.76
CMR,2019,46.16
CAN,1990,156.12
CAN,1991,151.5
CAN,1992,147.42
CAN,1993,145.21
CAN,1994,141.39
CAN,1995,138.48
CAN,1996,134.26
CAN,1997,130.14
CAN,1998,126.25
CAN,1999,121.69
CAN,2000,116.42
CAN,2001,112.15
CAN,2002,108.82
CAN,2003,105.68
CAN,2004,102.12
CAN,2005,98.88
CAN,2006,95.3
CAN,2007,92.95
CAN,2008,90.04
CAN,2009,86.54
CAN,2010,82.73
CAN,2011,79.7
CAN,2012,77.69
CAN,2013,75.52
CAN,2014,74.07
CAN,2015,71.84
CAN,2016,70.44
CAN,2017,69.15
CAN,2018,69.9
CAN,2019,69.42
CPV,1990,50.59
CPV,1991,50.61
CPV,1992,50.21
CPV,1993,50.37
CPV,1994,49.8
CPV,1995,48.95
CPV,1996,49.52
CPV,1997,50.49
CPV,1998,48.82
CPV,1999,47.67
CPV,2000,46.39
CPV,2001,45.4
CPV,2002,44.45
CPV,2003,43.4
CPV,2004,42.46
CPV,2005,41.56
CPV,2006,36.86
CPV,2007,34.75
CPV,2008,33.82
CPV,2009,32.99
CPV,2010,31.99
CPV,2011,31.76
CPV,2012,31.39
CPV,2013,30.72
CPV,2014,29.97
CPV,2015,29.68
CPV,2016,29.86
CPV,2017,30.36
CPV,2018,38.95
CPV,2019,37.83
CAF,1990,122.23
CAF,1991,123.39
CAF,1992,122.88
CAF,1993,123.04
CAF,1994,123.15
CAF,1995,122.52
CAF,1996,123.14
CAF,1997,121.66
CAF,1998,120.8
CAF,1999,119.53
CAF,2000,117.11
CAF,2001,115.22
CAF,2002,113.5
CAF,2003,111.08
CAF,2004,108.51
CAF,2005,106.17
CAF,2006,104.1
CAF,2007,101.37
CAF,2008,98.51
CAF,2009,96.32
CAF,2010,94.97
CAF,2011,93.29
CAF,2012,90.8
CAF,2013,89.64
CAF,2014,87.97
CAF,2015,86.53
CAF,2016,85.24
CAF,2017,84.14
CAF,2018,82.99
CAF,2019,81.71
TCD,1990,66.56
TCD,1991,65.94
TCD,1992,66.44
TCD,1993,67.38
TCD,1994,67.98
TCD,1995,68.38
TCD,1996,70.46
TCD,1997,71.72
TCD,1998,72.27
TCD,1999,72.82
TCD,2000,73.04
TCD,2001,73.21
TCD,2002,73.56
TCD,2003,73.65
TCD,2004,72.84
TCD,2005,71.29
TCD,2006,70.32
TCD,2007,69.66
TCD,2008,69.21
TCD,2009,68.47
TCD,2010,67.75
TCD,2011,67.01
TCD,2012,66.01
TCD,2013,64.45
TCD,2014,62.91
TCD,2015,61.61
TCD,2016,60.1
TCD,2017,58.76
TCD,2018,57.61
TCD,2019,56.1
CHL,1990,94.29
CHL,1991,88.26
CHL,1992,83.67
CHL,1993,82.05
CHL,1994,80.03
CHL,1995,79.36
CHL,1996,77.21
CHL,1997,73.57
CHL,1998,71.59
CHL,1999,70.02
CHL,2000,66.99
CHL,2001,66.83
CHL,2002,64.94
CHL,2003,64.31
